QtlID	TraitOriginalName	TraitAnnotation	TraitAnnotationID	Property	ProAnnotation	ProAnnotationID	ActualProValue	pmcId	tableId
PMC4321030_TABLE 2_19	FW	plant fresh weight	http://purl.obolibrary.org/obo/TO_0000442	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_20	FS	FS		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At5g04590	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_21	FS	FS		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At2g14260-TG400	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_22	FP	FP		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_23	FP	FP		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_24	30Wt	30Wt		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At5g04590	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_25	30Wt	30Wt		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At1g44790-TG400	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_26	SW	SW		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_27	SW	SW		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_28	Brix	Brix		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_29	Brix	Brix		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-J1	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_30	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At5g16710	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_31	pH	pH	http://purl.obolibrary.org/obo/SP_0000170	Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At2g22570-U340899	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_32	CD	CD		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_33	CD	CD		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_34	HAB	HAB		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_35	HAB	HAB		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_36	H	H		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_37	H	H		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_38	W	W		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	C2_At4g22260	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_39	W	W		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	J1-C2_At1g21690	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_40	SH	SH		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	T0408	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_41	SH	SH		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-TG523	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_42	SZ	SZ		Peak Marker or Interval	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194	PMC4321030	PMC4321030_TABLE 2
PMC4321030_TABLE 2_43	SZ	SZ		Flanking Markers	marker	http://purl.obolibrary.org/obo/SO_0001645 	TG194-T0408	PMC4321030	PMC4321030_TABLE 2
