entity_uri ,entity_name 
http://purl.obolibrary.org/obo/PO_0025590 ,receptacle pith 
http://purl.obolibrary.org/obo/PO_0025474 ,tension wood 
http://purl.obolibrary.org/obo/PO_0006377 ,tassel spikelet meristem 
http://purl.obolibrary.org/obo/PO_0025263 ,locule 
http://purl.obolibrary.org/obo/PO_0025069 ,aerial tuber axillary bud meristem 
http://purl.obolibrary.org/obo/PO_0006005 ,carpel anlagen 
http://purl.obolibrary.org/obo/PO_0009001 ,fruit 
http://purl.obolibrary.org/obo/PO_0025080 ,branch internode 
http://purl.obolibrary.org/obo/PO_0000023 ,casparian strip 
http://purl.obolibrary.org/obo/PO_0004711 ,axillary inflorescence bud 
http://purl.obolibrary.org/obo/PO_0025453 ,secondary phloem sieve element 
http://purl.obolibrary.org/obo/PO_0006440 ,upper glume of sessile spikelet of ear 
http://purl.obolibrary.org/obo/PO_0030015 ,sporophyte meristematic apical cell 
http://purl.obolibrary.org/obo/PO_0001099 ,formation of aleurone and starchy layers stage 
http://purl.obolibrary.org/obo/PO_0030010 ,shoot axis meristematic apical cell 
http://purl.obolibrary.org/obo/PO_0006435 ,rachilla of pedicellate spikelet of ear 
http://purl.obolibrary.org/obo/PO_0025313 ,tapetum 
http://purl.obolibrary.org/obo/PO_0025009 ,leaf lamina margin 
http://purl.obolibrary.org/obo/PO_0006200 ,fascicular cambium 
http://purl.obolibrary.org/obo/PO_0007527 ,2 root meristem formation stage 
http://purl.obolibrary.org/obo/PO_0007129 ,7.08 fruit size 80% 
http://purl.obolibrary.org/obo/PO_0001006 ,B enlarged microsporocyte stage 
http://purl.obolibrary.org/obo/PO_0004707 ,fruit dehiscence zone 
http://purl.obolibrary.org/obo/PO_0007066 ,SE.09 nine nodes or internodes visible stage 
http://purl.obolibrary.org/obo/PO_0020108 ,suspensor 
http://purl.obolibrary.org/obo/PO_0008020 ,central zone of the leaf lamina 
http://purl.obolibrary.org/obo/PO_0006015 ,female archesporial cell 
http://purl.obolibrary.org/obo/PO_0025421 ,septate phloem fiber cell 
http://purl.obolibrary.org/obo/PO_0025037 ,fruit storage parenchyma 
http://purl.obolibrary.org/obo/PO_0006386 ,lower glume of sessile spikelet of tassel 
http://purl.obolibrary.org/obo/PO_0000002 ,anther wall 
http://purl.obolibrary.org/obo/PO_0009023 ,leaf axil 
http://purl.obolibrary.org/obo/PO_0025523 ,tuberous root 
http://purl.obolibrary.org/obo/PO_0007076 ,late rosette growth stage 
http://purl.obolibrary.org/obo/PO_0005016 ,replum 
http://purl.obolibrary.org/obo/PO_0005647 ,spongy mesophyll 
http://purl.obolibrary.org/obo/PO_0025596 ,root system ground meristem 
http://purl.obolibrary.org/obo/PO_0006210 ,protoderm 
http://purl.obolibrary.org/obo/PO_0009039 ,glume 
http://purl.obolibrary.org/obo/PO_0025555 ,root system exarch protoxylem 
http://purl.obolibrary.org/obo/PO_0008041 ,stem internode elongation zone 
http://purl.obolibrary.org/obo/PO_0025255 ,ninth or higher order infructescence branch 
http://purl.obolibrary.org/obo/PO_0005026 ,root giant cell 
http://purl.obolibrary.org/obo/PO_0025017 ,plant spore 
http://purl.obolibrary.org/obo/PO_0007513 ,root cortex differentiation stage 
http://purl.obolibrary.org/obo/PO_0007085 ,LP.14 fourteen leaves visible stage 
http://purl.obolibrary.org/obo/PO_0025197 ,stele 
http://purl.obolibrary.org/obo/PO_0025294 ,embryo mesocotyl 
http://purl.obolibrary.org/obo/PO_0000043 ,crown root 
http://purl.obolibrary.org/obo/PO_0007014 ,booting stage 
http://purl.obolibrary.org/obo/PO_0025500 ,whole plant fruit development stage 
http://purl.obolibrary.org/obo/PO_0006368 ,glume of tassel spikelet 
http://purl.obolibrary.org/obo/PO_0003016 ,lateral root differentiation zone 
http://purl.obolibrary.org/obo/PO_0025104 ,first order inflorescence axis 
http://purl.obolibrary.org/obo/PO_0020104 ,leaf sheath 
http://purl.obolibrary.org/obo/PO_0000031 ,lenticel 
http://purl.obolibrary.org/obo/PO_0004708 ,scutellar node 
http://purl.obolibrary.org/obo/PO_0025351 ,glume awn 
http://purl.obolibrary.org/obo/PO_0000230 ,inflorescence meristem 
http://purl.obolibrary.org/obo/PO_0000057 ,inflorescence bud 
http://purl.obolibrary.org/obo/PO_0005423 ,collenchyma 
http://purl.obolibrary.org/obo/PO_0025305 ,microspore-derived cultured plant embryo 
http://purl.obolibrary.org/obo/PO_0025226 ,branch axil 
http://purl.obolibrary.org/obo/PO_0025575 ,protoxylem tracheary element 
http://purl.obolibrary.org/obo/PO_0030001 ,chloronema cell 
http://purl.obolibrary.org/obo/PO_0004548 ,aerial tuber 
http://purl.obolibrary.org/obo/PO_0025462 ,late wood tracheary element 
http://purl.obolibrary.org/obo/PO_0025506 ,fruit size 30 to 50% stage 
http://purl.obolibrary.org/obo/PO_0005008 ,obsolete fruit septum 
http://purl.obolibrary.org/obo/PO_0025574 ,vascular leaf differentiation stage 
http://purl.obolibrary.org/obo/PO_0006083 ,adaxial protoderm 
http://purl.obolibrary.org/obo/PO_0005772 ,exodermis 
http://purl.obolibrary.org/obo/PO_0025215 ,phyllome stomatal complex 
http://purl.obolibrary.org/obo/PO_0007512 ,A2 root initials differentiation stage 
http://purl.obolibrary.org/obo/PO_0025534 ,adventitious shoot axis 
http://purl.obolibrary.org/obo/PO_0001029 ,E tetrad stage 
http://purl.obolibrary.org/obo/PO_0025113 ,second order infructescence branch 
http://purl.obolibrary.org/obo/PO_0006349 ,ear sessile spikelet 
http://purl.obolibrary.org/obo/PO_0025320 ,cotyledonary node rhizoid 
http://purl.obolibrary.org/obo/PO_0000081 ,axial cell 
http://purl.obolibrary.org/obo/PO_0006505 ,central spike of ear inflorescence 
http://purl.obolibrary.org/obo/PO_0025507 ,fruit size 50 to 70% stage 
http://purl.obolibrary.org/obo/PO_0006339 ,juvenile vascular leaf 
http://purl.obolibrary.org/obo/PO_0025460 ,intermediary companion cell 
http://purl.obolibrary.org/obo/PO_0007026 ,FL.00 first flower(s) open stage 
http://purl.obolibrary.org/obo/PO_0025352 ,tubercle 
http://purl.obolibrary.org/obo/PO_0000295 ,cambial initial cell 
http://purl.obolibrary.org/obo/PO_0004716 ,terminal vegetative bud 
http://purl.obolibrary.org/obo/PO_0004509 ,glandular trichome 
http://purl.obolibrary.org/obo/PO_0025591 ,receptacle cortex 
http://purl.obolibrary.org/obo/PO_0025121 ,pollen sperm cell 
http://purl.obolibrary.org/obo/PO_0009015 ,portion of vascular tissue 
http://purl.obolibrary.org/obo/PO_0025218 ,petal stomatal complex 
http://purl.obolibrary.org/obo/PO_0030037 ,spore capsule calyptra 
http://purl.obolibrary.org/obo/PO_0006109 ,pith 
http://purl.obolibrary.org/obo/PO_0007024 ,FL.04 end of flowering stage 
http://purl.obolibrary.org/obo/PO_0025173 ,spine leaf 
http://purl.obolibrary.org/obo/PO_0007080 ,2.03 main shoot and axillary shoots visible at three nodes stage 
http://purl.obolibrary.org/obo/PO_0030052 ,antheridium jacket layer cell 
http://purl.obolibrary.org/obo/PO_0025289 ,seedling coleorhiza 
http://purl.obolibrary.org/obo/PO_0005043 ,secondary phloem 
http://purl.obolibrary.org/obo/PO_0025343 ,gametophyte senescent stage 
http://purl.obolibrary.org/obo/PO_0030002 ,caulonema cell 
http://purl.obolibrary.org/obo/PO_0025383 ,phyllome sinus 
http://purl.obolibrary.org/obo/PO_0025447 ,secondary xylem tracheid 
http://purl.obolibrary.org/obo/PO_0005005 ,shoot axis internode 
http://purl.obolibrary.org/obo/PO_0006090 ,organogenic callus 
http://purl.obolibrary.org/obo/PO_0025115 ,fourth order infructescence branch 
http://purl.obolibrary.org/obo/PO_0004710 ,axillary flower bud 
http://purl.obolibrary.org/obo/PO_0001010 ,F microspore release stage 
http://purl.obolibrary.org/obo/PO_0025565 ,shoot system xylem sap 
http://purl.obolibrary.org/obo/PO_0030025 ,thallus meristematic apical cell 
http://purl.obolibrary.org/obo/PO_0025148 ,tepal base 
http://purl.obolibrary.org/obo/PO_0007612 ,fully expanded petal stage 
http://purl.obolibrary.org/obo/PO_0025149 ,petal tip 
http://purl.obolibrary.org/obo/PO_0009111 ,petiole pulvinus 
http://purl.obolibrary.org/obo/PO_0025285 ,callus parenchyma cell 
http://purl.obolibrary.org/obo/PO_0025204 ,rhizome internode 
http://purl.obolibrary.org/obo/PO_0007516 ,root epidermal differentiation stage 
http://purl.obolibrary.org/obo/PO_0000028 ,pollen tube tip 
http://purl.obolibrary.org/obo/PO_0002004 ,silk scar 
http://purl.obolibrary.org/obo/PO_0006320 ,ear spikelet 
http://purl.obolibrary.org/obo/PO_0001044 ,sepal differentiation and expansion stage 
http://purl.obolibrary.org/obo/PO_0030082 ,chloronema meristematic apical cell 
http://purl.obolibrary.org/obo/PO_0006341 ,primary shoot system 
http://purl.obolibrary.org/obo/PO_0020139 ,leaf midvein 
http://purl.obolibrary.org/obo/PO_0025270 ,fruit locule 
http://purl.obolibrary.org/obo/PO_0030065 ,archegonium neck canal cell 
http://purl.obolibrary.org/obo/PO_0025171 ,shoot axis prickle 
http://purl.obolibrary.org/obo/PO_0030075 ,antheridium head 
http://purl.obolibrary.org/obo/PO_0007013 ,BO.03 late boot stage 
http://purl.obolibrary.org/obo/PO_0007078 ,rosette growth complete stage 
http://purl.obolibrary.org/obo/PO_0000223 ,shoot axis cortex 
http://purl.obolibrary.org/obo/PO_0025143 ,tepal apex 
http://purl.obolibrary.org/obo/PO_0007517 ,lateral root emergence stage 
http://purl.obolibrary.org/obo/PO_0025024 ,branch node 
http://purl.obolibrary.org/obo/PO_0001378 ,sepals enclosing meristem stage 
http://purl.obolibrary.org/obo/PO_0025353 ,areole bud 
http://purl.obolibrary.org/obo/PO_0005020 ,vascular bundle 
http://purl.obolibrary.org/obo/PO_0005050 ,phelloderm 
http://purl.obolibrary.org/obo/PO_0004012 ,secretory cell 
http://purl.obolibrary.org/obo/PO_0030068 ,epidermal rhizoid initial cell 
http://purl.obolibrary.org/obo/PO_0007091 ,SE.01 one node or internode visible stage 
http://purl.obolibrary.org/obo/PO_0007135 ,4 growth directionality stage 
http://purl.obolibrary.org/obo/PO_0001036 ,H anther senescence stage 
http://purl.obolibrary.org/obo/PO_0006354 ,ear floret 
http://purl.obolibrary.org/obo/PO_0001072 ,lodicule primordia visible stage 
http://purl.obolibrary.org/obo/PO_0000075 ,collenchyma cell 
