 "entity_uri" , "entity_name" , "syn" ,
 "http://purl.obolibrary.org/obo/PO_0007085" , "LP.14 fourteen leaves visible stage" , "maize growth stage-3.3" ,
 "http://purl.obolibrary.org/obo/PO_0007085" , "LP.14 fourteen leaves visible stage" , "14 rosette leaf in Arabidopsis" ,
 "http://purl.obolibrary.org/obo/PO_0007085" , "LP.14 fourteen leaves visible stage" , "3.3 mid-vegetative stage of maize" ,
 "http://purl.obolibrary.org/obo/PO_0007085" , "LP.14 fourteen leaves visible stage" , "Stage V13 in soybean" ,
 "http://purl.obolibrary.org/obo/PO_0007085" , "LP.14 fourteen leaves visible stage" , "1.14 13th trifoliolate leaf unfolded in soybean" ,
 "http://purl.obolibrary.org/obo/PO_0007085" , "LP.14 fourteen leaves visible stage" , "3.3 mid-vegetative" ,
 "http://purl.obolibrary.org/obo/PO_0007085" , "LP.14 fourteen leaves visible stage" , "fourteen rosette leaves" ,
 "http://purl.obolibrary.org/obo/PO_0007014" , "booting stage" , "05-booting stage" ,
 "http://purl.obolibrary.org/obo/PO_0007014" , "booting stage" , "05-booting in barley" ,
 "http://purl.obolibrary.org/obo/PO_0007014" , "booting stage" , "sorghum growth stage-6" ,
 "http://purl.obolibrary.org/obo/PO_0007014" , "booting stage" , "07-boot stage in sorghum" ,
 "http://purl.obolibrary.org/obo/PO_0007014" , "booting stage" , "05-booting in wheat" ,
 "http://purl.obolibrary.org/obo/PO_0007014" , "booting stage" , "development of vegetatively propogated organs" ,
 "http://purl.obolibrary.org/obo/PO_0007014" , "booting stage" , "05-booting in oat" ,
 "http://purl.obolibrary.org/obo/PO_0007014" , "booting stage" , "BBCH growth stage 4.0" ,
 "http://purl.obolibrary.org/obo/PO_0007014" , "booting stage" , "rice growth stage-5" ,
 "http://purl.obolibrary.org/obo/PO_0005423" , "collenchyma" , "supporting tissue" ,
 "http://purl.obolibrary.org/obo/PO_0005772" , "exodermis" , "root hypodermis" ,
 "http://purl.obolibrary.org/obo/PO_0025534" , "adventitious shoot axis" , "eje adventicio del epiblasto (Spanish)" ,
 "http://purl.obolibrary.org/obo/PO_0001029" , "E tetrad stage" , "stamen stage ST5-8" ,
 "http://purl.obolibrary.org/obo/PO_0006505" , "central spike of ear inflorescence" , "ear rachis" ,
 "http://purl.obolibrary.org/obo/PO_0007026" , "FL.00 first flower(s) open stage" , "7.01-anthesis beginning in barley" ,
 "http://purl.obolibrary.org/obo/PO_0007026" , "FL.00 first flower(s) open stage" , "6.00 1st flowers on main stem open in soybean" ,
 "http://purl.obolibrary.org/obo/PO_0007026" , "FL.00 first flower(s) open stage" , "first open flower in Arabidopsis" ,
 "http://purl.obolibrary.org/obo/PO_0007026" , "FL.00 first flower(s) open stage" , "FL.00 first flower(s) open in Solanaceae" ,
 "http://purl.obolibrary.org/obo/PO_0007026" , "FL.00 first flower(s) open stage" , "Stage R1 Open flower at any node on the main stem" ,
 "http://purl.obolibrary.org/obo/PO_0007026" , "FL.00 first flower(s) open stage" , "7.01-anthesis beginning in oat" ,
 "http://purl.obolibrary.org/obo/PO_0007026" , "FL.00 first flower(s) open stage" , "7.01-anthesis beginning in Triticeae" ,
 "http://purl.obolibrary.org/obo/PO_0007026" , "FL.00 first flower(s) open stage" , "7.01-anthesis beginning in wheat" ,
 "http://purl.obolibrary.org/obo/PO_0009015" , "portion of vascular tissue" , "vascular system" ,
 "http://purl.obolibrary.org/obo/PO_0007024" , "FL.04 end of flowering stage" , "6.09 End of flowering in soybean" ,
 "http://purl.obolibrary.org/obo/PO_0007024" , "FL.04 end of flowering stage" , "late reproductive" ,
 "http://purl.obolibrary.org/obo/PO_0007024" , "FL.04 end of flowering stage" , "anthesis completed" ,
 "http://purl.obolibrary.org/obo/PO_0007024" , "FL.04 end of flowering stage" , "7.03-anthesis completed in barley" ,
 "http://purl.obolibrary.org/obo/PO_0007024" , "FL.04 end of flowering stage" , "flowering complete" ,
 "http://purl.obolibrary.org/obo/PO_0007024" , "FL.04 end of flowering stage" , "7.03-anthesis completed in wheat" ,
 "http://purl.obolibrary.org/obo/PO_0007024" , "FL.04 end of flowering stage" , "FL.04 end of flowering in Solanaceae" ,
 "http://purl.obolibrary.org/obo/PO_0007024" , "FL.04 end of flowering stage" , "7.03-anthesis completed in oat" ,
 "http://purl.obolibrary.org/obo/PO_0007024" , "FL.04 end of flowering stage" , "fruit set visible" ,
 "http://purl.obolibrary.org/obo/PO_0007024" , "FL.04 end of flowering stage" , "Zadok scale-69, Haun scale-11.6" ,
 "http://purl.obolibrary.org/obo/PO_0007080" , "2.03 main shoot and axillary shoots visible at three nodes stage" , "main shoot and three tillers in barley" ,
 "http://purl.obolibrary.org/obo/PO_0007080" , "2.03 main shoot and axillary shoots visible at three nodes stage" , "3.04-main shoot and three tillers" ,
 "http://purl.obolibrary.org/obo/PO_0007080" , "2.03 main shoot and axillary shoots visible at three nodes stage" , "BBCH growth stage 23" ,
 "http://purl.obolibrary.org/obo/PO_0007080" , "2.03 main shoot and axillary shoots visible at three nodes stage" , "2.03 Main shoot and axillary shoots visible at 3 nodes in soybean" ,
 "http://purl.obolibrary.org/obo/PO_0007080" , "2.03 main shoot and axillary shoots visible at three nodes stage" , "third tiller detectable" ,
 "http://purl.obolibrary.org/obo/PO_0007080" , "2.03 main shoot and axillary shoots visible at three nodes stage" , "main shoot and 3 tillers" ,
 "http://purl.obolibrary.org/obo/PO_0007080" , "2.03 main shoot and axillary shoots visible at three nodes stage" , "2.03 main shoot and axillary shoots visible at three nodes in Solanaceae" ,
 "http://purl.obolibrary.org/obo/PO_0007080" , "2.03 main shoot and axillary shoots visible at three nodes stage" , "main shoot and three tillers in oat" ,
 "http://purl.obolibrary.org/obo/PO_0007080" , "2.03 main shoot and axillary shoots visible at three nodes stage" , "main shoot and third tiller visible" ,
 "http://purl.obolibrary.org/obo/PO_0007080" , "2.03 main shoot and axillary shoots visible at three nodes stage" , "Zadok scale-23" ,
 "http://purl.obolibrary.org/obo/PO_0007080" , "2.03 main shoot and axillary shoots visible at three nodes stage" , "third axillary shoot detectable" ,
 "http://purl.obolibrary.org/obo/PO_0007080" , "2.03 main shoot and axillary shoots visible at three nodes stage" , "main shoot and three tillers in wheat" ,
 "http://purl.obolibrary.org/obo/PO_0006090" , "organogenic callus" , "meristematic callus" ,
 "http://purl.obolibrary.org/obo/PO_0001010" , "F microspore release stage" , "pollen stage 5 in Arabidopsis" ,
 "http://purl.obolibrary.org/obo/PO_0007516" , "root epidermal differentiation stage" , "epidermal differentiation of lateral root." ,
 "http://purl.obolibrary.org/obo/PO_0007516" , "root epidermal differentiation stage" , "epidermal differentiation of primary root" ,
 "http://purl.obolibrary.org/obo/PO_0007516" , "root epidermal differentiation stage" , "epidermial differentiation of crown root." ,
 "http://purl.obolibrary.org/obo/PO_0006341" , "primary shoot system" , "main stalk" ,
 "http://purl.obolibrary.org/obo/PO_0020139" , "leaf midvein" , "vascular leaf costa" ,
 "http://purl.obolibrary.org/obo/PO_0020139" , "leaf midvein" , "vascular leaf costae" ,
 "http://purl.obolibrary.org/obo/PO_0007013" , "BO.03 late boot stage" , "5.2-late booting stage in rice" ,
 "http://purl.obolibrary.org/obo/PO_0007013" , "BO.03 late boot stage" , "rice growth stage-5.2" ,
 "http://purl.obolibrary.org/obo/PO_0007013" , "BO.03 late boot stage" , "flag leaf sheath swollen" ,
 "http://purl.obolibrary.org/obo/PO_0007078" , "rosette growth complete stage" , "complete rosette in Arabidopsis" ,
 "http://purl.obolibrary.org/obo/PO_0001378" , "sepals enclosing meristem stage" , "stage 4 flower in Arabidopsis " ,
 "http://purl.obolibrary.org/obo/PO_0007091" , "SE.01 one node or internode visible stage" , "4.02-first node detectable in barley" ,
 "http://purl.obolibrary.org/obo/PO_0007091" , "SE.01 one node or internode visible stage" , "3.01 one node visible in soybean" ,
 "http://purl.obolibrary.org/obo/PO_0007091" , "SE.01 one node or internode visible stage" , "3.1 ear initiation/mid-whorl stage" ,
 "http://purl.obolibrary.org/obo/PO_0007091" , "SE.01 one node or internode visible stage" , "4.02-first node detectable in oat" ,
 "http://purl.obolibrary.org/obo/PO_0007091" , "SE.01 one node or internode visible stage" , "Zadok scale-31, Feekes scale-6" ,
 "http://purl.obolibrary.org/obo/PO_0007091" , "SE.01 one node or internode visible stage" , "4.02-first node detectable in wheat" ,
 "http://purl.obolibrary.org/obo/PO_0007091" , "SE.01 one node or internode visible stage" , "BBCH growth stage 31" ,
 "http://purl.obolibrary.org/obo/PO_0001170" , "seed development stage" , "seed development in Arabidopsis" ,
 "http://purl.obolibrary.org/obo/PO_0009045" , "involucral bract" , "phyllary" ,
 "http://purl.obolibrary.org/obo/PO_0025600" , "staminate flower" , "adenate flower" ,
 "http://purl.obolibrary.org/obo/PO_0025600" , "staminate flower" , "male flower" ,
 "http://purl.obolibrary.org/obo/PO_0009006" , "shoot system" , "thalli" ,
 "http://purl.obolibrary.org/obo/PO_0009006" , "shoot system" , "thallus" ,
 "http://purl.obolibrary.org/obo/PO_0009006" , "shoot system" , "shoot" ,
 "http://purl.obolibrary.org/obo/PO_0009006" , "shoot system" , "Poaceae crown" ,
 "http://purl.obolibrary.org/obo/PO_0007130" , "sporophyte reproductive stage" , "B reproductive growth in Solanaceae" ,
 "http://purl.obolibrary.org/obo/PO_0007130" , "sporophyte reproductive stage" , "B-reproductive stage in rice" ,
 "http://purl.obolibrary.org/obo/PO_0007130" , "sporophyte reproductive stage" , "reproductive in Arabidopsis" ,
 "http://purl.obolibrary.org/obo/PO_0009040" , "sterile lemma" , "empty glume" ,
 "http://purl.obolibrary.org/obo/PO_0020145" , "lateral meristem" , "secondary meristem" ,
 "http://purl.obolibrary.org/obo/PO_0009058" , "perianth" , "connate perianth " ,
 "http://purl.obolibrary.org/obo/PO_0008034" , "leaf whorl" , "rosette" ,
 "http://purl.obolibrary.org/obo/PO_0007120" , "LP.19 nineteen leaves visible stage" , "3.04-late vegetative" ,
 "http://purl.obolibrary.org/obo/PO_0007120" , "LP.19 nineteen leaves visible stage" , "1.19 18th trifoliolate leaf unfolded in soybean" ,
 "http://purl.obolibrary.org/obo/PO_0007120" , "LP.19 nineteen leaves visible stage" , "V19 in maize" ,
 "http://purl.obolibrary.org/obo/PO_0007120" , "LP.19 nineteen leaves visible stage" , "late vegetative stage of maize" ,
