qtlId,traitName,traitUri,ChromosomeNumber,markers_associated,markerUri,gene_associated, geneUri,snp_associated,snpUri,pmcId,tableId,rowNumber 
PMC4266912_Table 3_0,Traita,,,,null,Geneb; ,,,null,PMC4266912,PMC4266912_Table 3,0
PMC4266912_Table 3_1,AsA,,,,null,Solyc03g112630.2.1; ,,solcap_snp_sl_20936; ,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_20936,PMC4266912,PMC4266912_Table 3,1
PMC4266912_Table 3_4,log (β-C),,,,null,Solyc01g087600.2.1; ,,solcap_snp_sl_17063; ,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_17063,PMC4266912,PMC4266912_Table 3,4
PMC4266912_Table 3_7,log (t-LYC),,,,null,Solyc03g031480.2.1; ,,solcap_snp_sl_27094; ,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_27094,PMC4266912,PMC4266912_Table 3,7
PMC4266912_Table 3_10,log (PHE),,,,null,Solyc08g082350.2.1; ,,solcap_snp_sl_100367; ,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_100367,PMC4266912,PMC4266912_Table 3,10
PMC4266912_Table 3_12,log (FW),http://purl.obolibrary.org/obo/TO_0000442,,,null,Solyc02g078790.2.1; ,,solcap_snp_sl_23884; ,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_23884,PMC4266912,PMC4266912_Table 3,12
PMC4266912_Table 3_18,log (pH),http://purl.obolibrary.org/obo/SP_0000170,,,null,Solyc11g017070.1.1; ,,solcap_snp_sl_19556; ,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_19556,PMC4266912,PMC4266912_Table 3,18
PMC4266912_Table 3_19,log (TA),http://purl.obolibrary.org/obo/SP_0000345,,,null,Solyc01g107550.2.1; ,,solcap_snp_sl_54697; ,http://solgenomics.net/genome/Solanum_lycopersicum/variation/solcap_snp_sl_54697,PMC4266912,PMC4266912_Table 3,19
